vlist,raw,vversion,wm.zero,zero,sample,wm.exist,exist,flag
1,s3,1,0,0,181,1,1,include
1,s3,3,0,0,1158,1,1,include
1,s3,4,0,0,109,1,1,include
1,s3,6,0,0,440,1,1,include
1,s3,7,0,0,1846,1,1,include
1,s5,1,0,0,181,1,1,include
1,s5,3,0,0,1158,1,1,include
1,s5,4,0,0,109,1,1,include
1,s5,6,0,0,440,1,1,include
1,s5,7,0,0,1846,1,1,include
1,s6.genderr1c1,1,0,0,181,0.634440279,0.662983425,include
1,s6.genderr1c1,3,0,0,1158,0.634440279,0.632124352,include
1,s6.genderr1c1,4,0,0,109,0.634440279,0.568807339,include
1,s6.genderr1c1,6,0,0,440,0.634440279,0.595454545,include
1,s6.genderr1c1,7,0,0,1846,0.634440279,0.646262189,include
1,s6.genderr2c1,1,0,0,181,0.365559721,0.419889503,include
1,s6.genderr2c1,3,0,0,1158,0.365559721,0.355785838,include
1,s6.genderr2c1,4,0,0,109,0.365559721,0.321100917,include
1,s6.genderr2c1,6,0,0,440,0.365559721,0.363636364,include
1,s6.genderr2c1,7,0,0,1846,0.365559721,0.369447454,include
1,s6.genderr3c1,1,0,0,181,0.1379218,0.171270718,include
1,s6.genderr3c1,3,0,0,1158,0.1379218,0.142487047,include
1,s6.genderr3c1,4,0,0,109,0.1379218,0.082568807,include
1,s6.genderr3c1,6,0,0,440,0.1379218,0.125,include
1,s6.genderr3c1,7,0,0,1846,0.1379218,0.138136511,include
1,s6.genderr4c1,1,0,0,181,0.044456347,0.044198895,include
1,s6.genderr4c1,3,0,0,1158,0.044456347,0.046632124,include
1,s6.genderr4c1,4,0,0,109,0.044456347,0.027522936,include
1,s6.genderr4c1,6,0,0,440,0.044456347,0.045454545,include
1,s6.genderr4c1,7,0,0,1846,0.044456347,0.043878657,include
1,s6.genderr5c1,1,0,0,181,0.013122657,0.022099448,include
1,s6.genderr5c1,3,0,0,1158,0.013122657,0.019861831,include
1,s6.genderr5c1,4,0,0,109,0.013122657,0.009174312,include
1,s6.genderr5c1,6,0,0,440,0.013122657,0.006818182,include
1,s6.genderr5c1,7,0,0,1846,0.013122657,0.009750813,include
1,s6.ager1c2,1,0.011247991,0.011049724,181,0.634440279,0.662983425,include
1,s6.ager1c2,3,0.011247991,0.01208981,1158,0.634440279,0.632124352,include
1,s6.ager1c2,4,0.011247991,0,109,0.634440279,0.568807339,include
1,s6.ager1c2,6,0.011247991,0.009090909,440,0.634440279,0.595454545,include
1,s6.ager1c2,7,0.011247991,0.01191766,1846,0.634440279,0.646262189,include
1,s6.ager2c2,1,0.006695233,0.011049724,181,0.365559721,0.419889503,include
1,s6.ager2c2,3,0.006695233,0.006908463,1158,0.365559721,0.355785838,include
1,s6.ager2c2,4,0.006695233,0,109,0.365559721,0.321100917,include
1,s6.ager2c2,6,0.006695233,0.009090909,440,0.365559721,0.363636364,include
1,s6.ager2c2,7,0.006695233,0.00595883,1846,0.365559721,0.369447454,include
1,s6.ager3c2,1,0.005088377,0.011049724,181,0.1379218,0.171270718,include
1,s6.ager3c2,3,0.005088377,0.009499136,1158,0.1379218,0.142487047,include
1,s6.ager3c2,4,0.005088377,0,109,0.1379218,0.082568807,include
1,s6.ager3c2,6,0.005088377,0.006818182,440,0.1379218,0.125,include
1,s6.ager3c2,7,0.005088377,0.001625135,1846,0.1379218,0.138136511,include
1,s6.ager4c2,1,0.001071237,0,181,0.044456347,0.044198895,include
1,s6.ager4c2,3,0.001071237,0.000863558,1158,0.044456347,0.046632124,include
1,s6.ager4c2,4,0.001071237,0.009174312,109,0.044456347,0.027522936,include
1,s6.ager4c2,6,0.001071237,0.002272727,440,0.044456347,0.045454545,include
1,s6.ager4c2,7,0.001071237,0.000541712,1846,0.044456347,0.043878657,include
1,s6.ager5c2,1,0.000535619,0,181,0.013122657,0.022099448,include
1,s6.ager5c2,3,0.000535619,0.001727116,1158,0.013122657,0.019861831,include
1,s6.ager5c2,4,0.000535619,0,109,0.013122657,0.009174312,include
1,s6.ager5c2,6,0.000535619,0,440,0.013122657,0.006818182,include
1,s6.ager5c2,7,0.000535619,0,1846,0.013122657,0.009750813,include
1,s6.relr1c3,1,0,0,181,0.634440279,0.662983425,include
1,s6.relr1c3,3,0,0,1158,0.634440279,0.632124352,include
1,s6.relr1c3,4,0,0,109,0.634440279,0.568807339,include
1,s6.relr1c3,6,0,0,440,0.634440279,0.595454545,include
1,s6.relr1c3,7,0,0,1846,0.634440279,0.646262189,include
1,s6.relr2c3,1,0,0,181,0.365559721,0.419889503,include
1,s6.relr2c3,3,0,0,1158,0.365559721,0.355785838,include
1,s6.relr2c3,4,0,0,109,0.365559721,0.321100917,include
1,s6.relr2c3,6,0,0,440,0.365559721,0.363636364,include
1,s6.relr2c3,7,0,0,1846,0.365559721,0.369447454,include
1,s6.relr3c3,1,0,0,181,0.1379218,0.171270718,include
1,s6.relr3c3,3,0,0,1158,0.1379218,0.142487047,include
1,s6.relr3c3,4,0,0,109,0.1379218,0.082568807,include
1,s6.relr3c3,6,0,0,440,0.1379218,0.125,include
1,s6.relr3c3,7,0,0,1846,0.1379218,0.138136511,include
1,s6.relr4c3,1,0,0,181,0.044456347,0.044198895,include
1,s6.relr4c3,3,0,0,1158,0.044456347,0.046632124,include
1,s6.relr4c3,4,0,0,109,0.044456347,0.027522936,include
1,s6.relr4c3,6,0,0,440,0.044456347,0.045454545,include
1,s6.relr4c3,7,0,0,1846,0.044456347,0.043878657,include
1,s6.relr5c3,1,0,0,181,0.013122657,0.022099448,include
1,s6.relr5c3,3,0,0,1158,0.013122657,0.019861831,include
1,s6.relr5c3,4,0,0,109,0.013122657,0.009174312,include
1,s6.relr5c3,6,0,0,440,0.013122657,0.006818182,include
1,s6.relr5c3,7,0,0,1846,0.013122657,0.009750813,include
1,s6.nar1c4,1,0.634440279,0.662983425,181,0.643010177,0.662983425,include
1,s6.nar1c4,3,0.634440279,0.632124352,1158,0.643010177,0.642487047,include
1,s6.nar1c4,4,0.634440279,0.568807339,109,0.643010177,0.587155963,include
1,s6.nar1c4,6,0.634440279,0.595454545,440,0.643010177,0.602272727,include
1,s6.nar1c4,7,0.634440279,0.646262189,1846,0.643010177,0.654387866,include
1,s6.nar2c4,1,0.638457418,0.662983425,181,0.643010177,0.662983425,include
1,s6.nar2c4,3,0.638457418,0.637305699,1158,0.643010177,0.642487047,include
1,s6.nar2c4,4,0.638457418,0.587155963,109,0.643010177,0.587155963,include
1,s6.nar2c4,6,0.638457418,0.597727273,440,0.643010177,0.602272727,include
1,s6.nar2c4,7,0.638457418,0.649512459,1846,0.643010177,0.654387866,include
1,s6.nar3c4,1,0.640332084,0.662983425,181,0.643010177,0.662983425,include
1,s6.nar3c4,3,0.640332084,0.638169257,1158,0.643010177,0.642487047,include
1,s6.nar3c4,4,0.640332084,0.587155963,109,0.643010177,0.587155963,include
1,s6.nar3c4,6,0.640332084,0.6,440,0.643010177,0.602272727,include
1,s6.nar3c4,7,0.640332084,0.652221018,1846,0.643010177,0.654387866,include
1,s6.nar4c4,1,0.64167113,0.662983425,181,0.643010177,0.662983425,include
1,s6.nar4c4,3,0.64167113,0.639896373,1158,0.643010177,0.642487047,include
1,s6.nar4c4,4,0.64167113,0.587155963,109,0.643010177,0.587155963,include
1,s6.nar4c4,6,0.64167113,0.602272727,440,0.643010177,0.602272727,include
1,s6.nar4c4,7,0.64167113,0.653304442,1846,0.643010177,0.654387866,include
1,s6.nar5c4,1,0.64167113,0.662983425,181,0.643010177,0.662983425,include
1,s6.nar5c4,3,0.64167113,0.639032815,1158,0.643010177,0.642487047,include
1,s6.nar5c4,4,0.64167113,0.587155963,109,0.643010177,0.587155963,include
1,s6.nar5c4,6,0.64167113,0.602272727,440,0.643010177,0.602272727,include
1,s6.nar5c4,7,0.64167113,0.653846154,1846,0.643010177,0.654387866,include
1,s7,1,0,0,181,1,1,include
1,s7,3,0,0,1158,1,1,include
1,s7,4,0,0,109,1,1,include
1,s7,6,0,0,440,1,1,include
1,s7,7,0,0,1846,1,1,include
1,s8r1,1,0.424745581,0.386740331,181,0.982860204,1,include
1,s8r1,3,0.424745581,0.480138169,1158,0.982860204,1,include
1,s8r1,4,0.424745581,0.495412844,109,0.982860204,0.935779817,include
1,s8r1,6,0.424745581,0.452272727,440,0.982860204,0.970454545,include
1,s8r1,7,0.424745581,0.382990249,1846,0.982860204,0.97616468,include
1,s8r2,1,0.418318157,0.447513812,181,0.982860204,1,include
1,s8r2,3,0.418318157,0.420552677,1158,0.982860204,1,include
1,s8r2,4,0.418318157,0.348623853,109,0.982860204,0.935779817,include
1,s8r2,6,0.418318157,0.409090909,440,0.982860204,0.970454545,include
1,s8r2,7,0.418318157,0.420368364,1846,0.982860204,0.97616468,include
1,s8r3,1,0.40171398,0.386740331,181,0.982860204,1,include
1,s8r3,3,0.40171398,0.400690846,1158,0.982860204,1,include
1,s8r3,4,0.40171398,0.504587156,109,0.982860204,0.935779817,include
1,s8r3,6,0.40171398,0.422727273,440,0.982860204,0.970454545,include
1,s8r3,7,0.40171398,0.392741062,1846,0.982860204,0.97616468,include
1,s8r4,1,0.966256026,0.977900552,181,0.982860204,1,include
1,s8r4,3,0.966256026,0.96373057,1158,0.982860204,1,include
1,s8r4,4,0.966256026,0.908256881,109,0.982860204,0.935779817,include
1,s8r4,6,0.966256026,0.963636364,440,0.982860204,0.970454545,include
1,s8r4,7,0.966256026,0.970747562,1846,0.982860204,0.97616468,include
1,s8r5,1,0.981253348,1,181,0.982860204,1,include
1,s8r5,3,0.981253348,0.997409326,1158,0.982860204,1,include
