"dat.raw","vlist.1","vlist.2","vlist.3","vlist.4","vlist.5"
"s3","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s5","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s6.genderr1c1","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.genderr2c1","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"s6.genderr3c1","c(1,3:4,6:7)","c(1:3,6:7)","c(1,4,7)","c(1,3:5,7)","c(5:6)"
"s6.genderr4c1","c(1,3:4,6:7)","c(1,3,6:7)","c(0)","c(1,3:5,7)","c(5:6)"
"s6.genderr5c1","c(1,3:4,6:7)","c(1,3,6:7)","c(0)","c(3,5,7)","c(6)"
"s6.ager1c2","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.ager2c2","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"s6.ager3c2","c(1,3:4,6:7)","c(1:3,6:7)","c(1,4,7)","c(1,3:5,7)","c(5:6)"
"s6.ager4c2","c(1,3:4,6:7)","c(1,3,6:7)","c(0)","c(1,3:5,7)","c(5:6)"
"s6.ager5c2","c(1,3:4,6:7)","c(1,3,6:7)","c(0)","c(3,5,7)","c(6)"
"s6.relr1c3","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.relr2c3","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"s6.relr3c3","c(1,3:4,6:7)","c(1:3,6:7)","c(1,4,7)","c(1,3:5,7)","c(5:6)"
"s6.relr4c3","c(1,3:4,6:7)","c(1,3,6:7)","c(0)","c(1,3:5,7)","c(5:6)"
"s6.relr5c3","c(1,3:4,6:7)","c(1,3,6:7)","c(0)","c(3,5,7)","c(6)"
"s6.nar1c4","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.nar2c4","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.nar3c4","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.nar4c4","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s6.nar5c4","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(3:7)","c(5:6)"
"s7","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s8r1","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"s8r2","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(1,3,5:7)","c(5:6)"
"s8r3","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"s8r4","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s8r5","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r1","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r2","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r3","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(1,3:7)","c(5:6)"
"s9r4","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r6","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r7","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r8","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s9r5","c(1,3:4,6:7)","c(1:3,6:7)","c(1:3,5,7)","c(1,3:7)","c(5:6)"
"s10r1","c(1,3:4,6:7)","c(1:3,6:7)","c(1:3,5,7)","c(1,3:7)","c(5:6)"
"s10r2","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"s10r3","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(1,3:7)","c(5:6)"
"s10r4","c(1,3:4,6:7)","c(1:3,6:7)","c(3,7)","c(3:4,7)","c(5:6)"
"s10r6","c(1,7)","c(0)","c(0)","c(0)","c(0)"
"s10r7","c(7)","c(7)","c(0)","c(0)","c(0)"
"s10r8","c(7)","c(7)","c(0)","c(3)","c(0)"
"s10r5","c(1,3:4,6:7)","c(1:3,6:7)","c(4,7)","c(3:7)","c(5:6)"
"s11","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s12","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"s13","c(0)","c(2,6:7)","c(1,4:5,7)","c(1,4:7)","c(5:6)"
"ua1r1","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r1","c(1,3:4,6:7)","c(1:2,6:7)","c(1,3:4,7)","c(1,4:7)","c(5:6)"
"aa2r2","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(1,3:7)","c(5:6)"
"aa2r3","c(1,3:4,6:7)","c(7)","c(1:5,7)","c(1,4:7)","c(5:6)"
"aa2r4","c(1,3:4,6:7)","c(7)","c(1:4,7)","c(1,3:7)","c(5:6)"
"aa2r5","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r6","c(1,4,6:7)","c(7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r7","c(1,3:4,6:7)","c(1:3,6:7)","c(1:4,7)","c(1,3:7)","c(5:6)"
"aa2r8","c(1,3:4,6:7)","c(1:3,6:7)","c(3:4,7)","c(1,3:7)","c(5:6)"
"aa2r9","c(1,3:4,6:7)","c(1,6:7)","c(1,3,7)","c(1,4:7)","c(5:6)"
"aa2r10","c(1,3:4,6:7)","c(1,3,6:7)","c(3,7)","c(1,3:7)","c(5:6)"
"aa2r11","c(1,3:4,6:7)","c(1,6:7)","c(1:5,7)","c(1,4:7)","c(5:6)"
"aa2r12","c(1,3:4,6:7)","c(1:2,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r13","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"aa2r14","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r15","c(1,3:4,6:7)","c(2,6:7)","c(1,3,7)","c(1,3:7)","c(5:6)"
"aa2r16","c(1,3:4,6:7)","c(1:3,6:7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r17","c(1,3:4,6:7)","c(2,7)","c(1:5,7)","c(1,3:7)","c(5:6)"
"aa2r18","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3:4,7)","c(1,3:7)","c(5:6)"
"aa2r19","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(1,3:7)","c(5:6)"
"wom1r1","c(1,3:4,6:7)","c(1,3,6:7)","c(1,3,7)","c(1,3:7)","c(5:6)"
"wom1r2","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(1,3:7)","c(5:6)"
"wom1r3","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r4","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(3:7)","c(5:6)"
"wom1r5","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r6","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r7","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(1,3:7)","c(5:6)"
"wom1r8","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(3:7)","c(5:6)"
"wom1r9","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r10","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(1,3:7)","c(5:6)"
"wom1r11","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r12","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r13","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r14","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r15","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r16","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(1,3:7)","c(5:6)"
"wom1r17","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom1r18","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(1,3:7)","c(5:6)"
"wom1r19","c(1,3:4,6:7)","c(6:7)","c(3,7)","c(1,3:7)","c(5:6)"
"wom2r1","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(1,3:7)","c(5:6)"
"wom2r2","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,7)","c(1,4:7)","c(5:6)"
"wom2r3","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
"wom2r4","c(1,3:4,6:7)","c(1:3,6:7)","c(1,3,5,7)","c(3:7)","c(5:6)"
